Order Date,Segment,Market,Sales,Quantity,Profit
14-09-2011,Consumer,US,2799.96,4,1371.9804
05-11-2014,Corporate,US,7999.98,4,-3839.9904
14-01-2014,Consumer,EU,4141.02,13,1697.67
10-01-2011,Consumer,APAC,2875.095,5,511.095
22-08-2013,Consumer,APAC,3200.5962,6,-77.2038
11-11-2014,Home Office,APAC,4518.78,7,632.52
26-09-2014,Corporate,APAC,5667.87,13,2097.03
13-12-2012,Consumer,EU,5785.02,9,404.73
23-09-2011,Consumer,EU,3018.624,7,377.244
23-09-2011,Consumer,US,9449.95,5,4630.4755
08-03-2013,Corporate,EU,2092.5,5,720.75
28-08-2014,Consumer,APAC,2761.2,6,110.34
01-05-2014,Consumer,APAC,2174.13,7,500.01
18-12-2014,Consumer,LATAM,3473.14,11,868.12
16-06-2012,Consumer,US,3050.376,3,1143.891
18-09-2014,Consumer,EMEA,2108.64,8,527.04
25-07-2014,Corporate,US,2399.96,5,839.986
17-12-2011,Corporate,APAC,2197.5,5,153.75
18-12-2013,Corporate,Africa,2582.16,4,593.88
30-05-2012,Consumer,APAC,1526.52,4,732.72
19-03-2012,Corporate,US,3149.93,7,1480.4671
25-05-2012,Corporate,APAC,1745.34,2,226.86
05-08-2014,Consumer,APAC,4191.507,9,1164.267
24-08-2014,Consumer,US,4367.896,13,327.5922
11-03-2014,Consumer,APAC,3063.27,7,581.91
08-11-2012,Corporate,US,4643.8,4,2229.024
11-08-2014,Corporate,EU,4473,7,313.11
31-08-2013,Corporate,EU,1502.01,9,225.18
18-01-2014,Consumer,APAC,5049,11,656.37
02-12-2013,Corporate,US,2104.55,7,694.5015
07-12-2014,Consumer,EU,2188.05,5,1050.15
16-12-2014,Corporate,APAC,1920.36,4,652.92
20-11-2014,Home Office,LATAM,1704,4,119.28
09-11-2011,Home Office,EMEA,1858.68,4,130.08
07-06-2013,Corporate,APAC,3298.26,7,1055.25
22-11-2011,Consumer,LATAM,2443.48,13,121.94
29-03-2013,Consumer,Africa,3808.8,8,1523.52
26-08-2014,Corporate,APAC,3427.1496,7,-452.8104
20-09-2012,Consumer,EU,3441.69,6,38.07
16-05-2014,Consumer,APAC,2863.35,5,858.9
16-03-2012,Consumer,US,6354.95,5,3177.475
24-11-2013,Consumer,EU,1487.4,10,728.7
09-11-2011,Home Office,APAC,3200.04,9,1183.95
28-10-2011,Consumer,APAC,2301,5,91.95
19-11-2014,Consumer,EU,5729.346,14,63.546
28-10-2014,Corporate,Africa,5301.24,14,2597.28
17-01-2014,Consumer,US,5443.96,4,2504.2216
18-08-2014,Consumer,US,4416.174,9,-630.882
29-01-2013,Consumer,EU,3219.9,5,965.85
18-09-2012,Consumer,APAC,2487.8088,6,-269.7912
23-11-2013,Home Office,Africa,2266.44,4,113.28
13-06-2012,Corporate,APAC,3068.361,9,1124.901
28-10-2013,Consumer,APAC,3728.43,9,1192.86
12-12-2013,Consumer,APAC,1581.48,6,0
25-05-2012,Corporate,APAC,1916.73,3,498.33
06-05-2013,Corporate,US,1685.88,6,320.3172
02-12-2013,Home Office,EU,2432.16,5,513.36
23-12-2014,Corporate,Canada,3863.88,6,1159.02
28-01-2013,Corporate,APAC,2465.82,7,197.19
07-05-2012,Corporate,APAC,1847.52,2,738.96
27-11-2013,Consumer,EU,2899.89,7,927.78
28-11-2012,Home Office,APAC,2891.7,7,96.39
29-09-2012,Consumer,EU,2016.846,9,-0.054
03-09-2013,Home Office,EU,3155.544,7,34.944
26-07-2013,Consumer,Africa,3856.14,6,1465.2
19-11-2014,Corporate,APAC,3524.472,6,861.372
19-06-2012,Consumer,EU,2167.296,4,790.416
11-10-2012,Corporate,LATAM,2556,6,178.92
09-08-2011,Consumer,EU,1469.25,5,308.4
05-11-2011,Consumer,EU,4448.832,8,1517.712
07-11-2014,Home Office,US,2036.86,7,366.6348
26-04-2013,Home Office,LATAM,2472.66,9,914.76
26-12-2013,Consumer,APAC,3739.176,8,747.816
13-03-2013,Home Office,EU,2570.865,11,-2211.165
17-04-2013,Corporate,US,9099.93,7,2365.9818
05-04-2012,Corporate,EU,2875.77,9,-1783.08
26-12-2012,Consumer,EU,1741.8,4,261.24
18-04-2013,Consumer,APAC,1601.64,5,587.19
24-05-2011,Consumer,APAC,3670.8,7,367.08
22-05-2012,Consumer,US,2973.32,7,334.4985
16-05-2013,Consumer,EU,1900.95,5,589.2
06-12-2011,Corporate,US,1261.33,7,327.9458
16-02-2011,Corporate,EU,4544.1,11,1868.13
31-05-2013,Consumer,APAC,1455.12,4,116.4
01-10-2013,Consumer,APAC,1943.19,6,258.93
14-12-2011,Consumer,US,6999.96,4,2239.9872
18-12-2013,Consumer,US,9892.74,13,4946.37
11-12-2013,Corporate,APAC,1695.87,5,-37.83
18-03-2014,Corporate,EU,1505.979,6,-265.761
19-12-2014,Consumer,APAC,1954.17,3,312.66
20-12-2011,Home Office,US,2244.48,7,493.7856
24-05-2013,Consumer,US,8399.976,4,1119.9968
14-10-2011,Consumer,US,1628.82,9,260.6112
18-09-2014,Consumer,LATAM,1213.18876,7,508.00876
25-11-2013,Corporate,APAC,1590.6,5,572.55
07-11-2013,Consumer,APAC,2330.64,9,1025.46
19-07-2014,Home Office,APAC,3278.5848,8,140.8248
16-08-2012,Home Office,APAC,3741.5238,7,946.6338
27-08-2013,Corporate,US,1603.136,4,100.196
11-01-2012,Consumer,APAC,3637.602,10,156.402
28-01-2013,Home Office,LATAM,2455.88,7,785.82
14-06-2012,Consumer,APAC,1024.68,8,-286.92
01-12-2011,Consumer,US,2807.84,8,673.8816
25-06-2013,Consumer,US,4476.8,4,503.64
06-12-2012,Home Office,LATAM,2297.96,14,988.12
05-09-2013,Corporate,EU,2671.41,7,534.24
18-09-2014,Consumer,Africa,3834,6,268.38
12-09-2014,Home Office,US,2054.272,8,256.784
03-08-2012,Corporate,APAC,3501.7368,8,210.8568
09-12-2014,Home Office,APAC,1725.462,3,747.612
25-10-2012,Consumer,APAC,1583.7,5,174.15
13-07-2012,Consumer,US,1931.04,9,321.84
27-08-2013,Home Office,APAC,2760.345,7,-214.725
13-05-2011,Corporate,APAC,3078.72,12,523.08
03-11-2011,Consumer,EU,1983.135,7,-1784.895
02-08-2014,Consumer,EU,1112.778,3,296.658
20-09-2011,Consumer,EU,3616.5,10,36
08-01-2014,Corporate,US,3059.982,2,679.996
11-03-2013,Consumer,APAC,2892.105,5,160.605
02-02-2012,Consumer,EU,3263.4,5,848.4
09-09-2013,Consumer,US,2396.2656,4,-317.1528
09-04-2014,Corporate,LATAM,3117.088,13,38.948
02-03-2013,Consumer,US,4899.93,7,2400.9657
19-03-2014,Home Office,LATAM,1888.7,5,887.6
02-10-2013,Consumer,APAC,3000.78,6,1080.18
12-01-2013,Corporate,EU,3801.63,7,1444.59
20-08-2014,Consumer,EMEA,5211.12,8,1146.24
17-12-2011,Corporate,APAC,1356.03,3,311.85
14-03-2014,Consumer,APAC,3569.643,7,674.163
26-03-2013,Consumer,US,1287.45,5,244.6155
09-07-2014,Consumer,APAC,2910.0816,8,125.1216
11-06-2013,Home Office,APAC,3126.4002,9,-128.7198
10-08-2011,Consumer,EU,5276.988,9,1758.888
17-03-2014,Consumer,APAC,2645.376,5,-0.024
02-01-2013,Consumer,APAC,1637.01,5,-36.39
26-11-2013,Consumer,US,4499.985,5,-6599.978
10-10-2012,Consumer,APAC,2645.376,5,-0.024
23-10-2014,Home Office,US,2399.6,8,647.892
17-06-2011,Corporate,APAC,3238.305,5,-740.295
03-04-2014,Corporate,EU,2291.814,7,127.134
17-05-2011,Consumer,LATAM,2124.5,5,488.6
11-02-2014,Home Office,EMEA,2757.78,6,744.48
12-10-2013,Consumer,EU,1549.98,6,139.32
19-09-2011,Consumer,US,2624.985,3,-944.9946
17-07-2014,Corporate,EMEA,3146.4,6,629.28
22-11-2014,Corporate,EU,2456.619,11,664.719
30-05-2011,Consumer,EU,2228.6355,7,-754.4145
01-04-2014,Corporate,US,2999.95,5,1439.976
17-07-2014,Corporate,APAC,4001.04,8,1440.24
29-08-2014,Home Office,EU,4876.875,9,745.875
26-12-2012,Consumer,APAC,1788.822,6,204.282
11-11-2014,Home Office,APAC,3622.29,7,1267.77
01-05-2013,Consumer,APAC,1242.585,5,-140.715
16-08-2011,Corporate,EU,4453.05,7,1424.85
03-12-2014,Consumer,APAC,2673.36,8,1069.2
25-06-2013,Consumer,APAC,2046.195,5,591.045
21-01-2013,Consumer,EU,5451.3,6,2071.44
22-10-2013,Home Office,US,4535.976,3,1644.2913
12-07-2014,Consumer,APAC,1722.2832,4,539.4432
26-12-2013,Corporate,US,2575.944,7,257.5944
01-09-2014,Home Office,EU,1007.424,2,134.304
17-11-2011,Corporate,US,2934.33,7,792.2691
07-06-2011,Home Office,APAC,4624.29,9,1644.03
13-10-2011,Corporate,EU,1066.446,6,-11.934
10-06-2013,Home Office,APAC,957.6,4,0
13-12-2014,Home Office,APAC,4864.32,10,162.12
13-10-2014,Consumer,US,2154.9,5,129.294
10-06-2014,Consumer,APAC,1433.8395,3,-84.3705
15-02-2011,Home Office,Africa,2784.6,14,779.52
28-11-2013,Consumer,EU,3063.27,7,1470.21
18-06-2014,Home Office,US,3404.5,5,1668.205
20-09-2013,Home Office,US,1606.23,9,481.869
09-08-2011,Consumer,LATAM,2044.8,6,-332.28
21-06-2011,Consumer,US,1214.85,3,352.3065
02-08-2012,Corporate,APAC,1521,4,0
19-06-2012,Consumer,EU,2443.905,5,760.305
16-07-2012,Corporate,US,1348.704,6,-219.1644
02-08-2013,Corporate,EMEA,1141.8,10,570.9
22-05-2014,Corporate,APAC,1865.97,9,802.17
10-02-2011,Corporate,APAC,6998.64,11,2939.31
27-09-2013,Consumer,EU,1091.25,3,119.97
02-06-2014,Home Office,APAC,1094.22,3,328.23
30-09-2013,Corporate,APAC,1320.624,4,484.224
19-07-2011,Consumer,APAC,2555.64,4,664.44
14-08-2014,Home Office,EMEA,3498.72,8,594.72
26-07-2013,Consumer,US,1439.976,4,191.9968
31-10-2014,Consumer,APAC,2272.86,6,977.22
25-07-2013,Consumer,APAC,5211.12,8,833.76
07-10-2014,Home Office,APAC,2582.16,4,361.44
17-10-2014,Home Office,APAC,3194.55,5,830.55
03-12-2013,Consumer,APAC,1704.996,4,378.876
08-11-2014,Corporate,APAC,1538.721,6,325.701
10-06-2013,Home Office,APAC,1381.32,3,593.91
21-09-2011,Home Office,EU,1181.547,3,498.807
21-06-2011,Consumer,EU,1696.248,4,734.928
09-05-2014,Home Office,US,3359.952,6,1049.985
23-09-2014,Consumer,US,4663.736,7,-1049.3406
26-11-2014,Home Office,Africa,1237.56,4,606.36
30-03-2012,Consumer,Africa,1274.7,2,140.16
10-11-2011,Consumer,LATAM,3172.14,9,856.44
22-08-2014,Consumer,US,4305.552,6,1453.1238
01-08-2012,Corporate,EU,3979.29,7,1989.54
23-12-2014,Consumer,US,1586.69,7,412.5394
04-07-2014,Home Office,US,2395.2,6,209.58
21-11-2014,Consumer,US,1259.97,3,327.5922
23-01-2013,Consumer,EMEA,2058,4,946.68
21-05-2011,Consumer,APAC,2539.8765,7,709.9365
28-09-2014,Consumer,EU,2898.21,7,1420.02
06-11-2011,Home Office,EU,1320.0075,5,357.1575
28-01-2014,Corporate,EMEA,2171.16,8,-2750.28
13-09-2014,Corporate,APAC,4448.223,13,444.483
01-12-2012,Home Office,US,1913.4,9,401.814
22-12-2011,Consumer,LATAM,2300.616,9,38.196
05-02-2013,Home Office,Africa,2615.94,6,1072.44
28-12-2011,Consumer,APAC,1066.68,3,394.65
28-05-2013,Corporate,US,3504.9,5,700.98
27-04-2011,Corporate,Africa,2544.6,4,814.2
06-10-2011,Corporate,APAC,3694.68,4,886.68
24-08-2013,Home Office,APAC,2214.849,7,-221.571
21-09-2013,Home Office,LATAM,1236.48,4,111.28
17-12-2014,Corporate,LATAM,1805.9,5,126.4
19-09-2011,Corporate,US,3059.982,3,-509.997
04-07-2014,Home Office,US,1687.8,4,742.632
21-05-2011,Corporate,US,2715.93,7,1276.4871
03-06-2014,Consumer,LATAM,1810.3,5,54.3
12-09-2014,Consumer,LATAM,2120.5,5,106
17-04-2014,Consumer,APAC,1275,2,140.22
21-11-2012,Consumer,EU,1593.648,7,-225.162
06-03-2014,Corporate,EU,1114.236,3,383.706
23-07-2012,Consumer,EU,2944.08,5,1112.13
07-11-2014,Consumer,APAC,3309.2598,7,318.8598
22-11-2014,Consumer,LATAM,897.48,9,322.92
11-06-2011,Consumer,EU,2056.05,5,390.6
14-09-2012,Corporate,LATAM,2365.6592,10,18.8592
25-11-2011,Consumer,APAC,1336.356,7,44.436
10-08-2012,Consumer,APAC,3038.64,8,1245.84
20-03-2013,Consumer,EU,2698.65,9,890.46
30-12-2013,Corporate,Africa,3799.08,12,455.76
04-10-2012,Consumer,APAC,2756.34,6,413.28
06-08-2012,Home Office,EU,983.88,8,-11.16
02-10-2012,Home Office,APAC,1719.807,5,117.657
26-03-2014,Consumer,APAC,1421.541,3,428.121
21-11-2014,Consumer,LATAM,1053.6884,5,441.2884
30-11-2011,Consumer,EU,1440.84,8,-1268.04
03-11-2011,Corporate,APAC,2544.372,6,621.792
23-11-2012,Consumer,US,2625.12,8,735.0336
06-12-2012,Consumer,EMEA,1554.48,8,341.76
03-12-2013,Consumer,LATAM,1278,3,89.46
20-12-2012,Corporate,LATAM,3474.08,8,625.28
13-09-2012,Consumer,LATAM,2550,6,357
04-11-2013,Consumer,US,1101.48,4,429.5772
16-11-2013,Consumer,US,1016.792,1,381.297
08-04-2013,Corporate,US,1199.976,3,374.9925
23-05-2012,Consumer,EMEA,934.248,14,-1331.652
18-11-2014,Consumer,US,10499.97,3,5039.9856
14-04-2014,Corporate,Africa,3908.88,6,1563.48
29-08-2014,Home Office,LATAM,2142.3,5,556.9
16-05-2014,Consumer,APAC,1900.584,6,-348.516
13-12-2012,Consumer,Africa,1840.68,6,496.98
31-03-2011,Consumer,EU,2624.04,6,446.04
04-02-2012,Corporate,APAC,3076.5,7,215.25
29-05-2013,Corporate,APAC,3181.7718,6,344.9718
29-08-2012,Consumer,EU,1392.633,11,-139.557
15-06-2011,Consumer,APAC,1296.24,8,285.12
28-08-2014,Consumer,APAC,1682.91,3,487.98
27-10-2011,Consumer,LATAM,1278,3,89.46
19-03-2014,Home Office,EMEA,2570.76,4,976.8
11-09-2014,Home Office,LATAM,2332.96,5,349.86
28-08-2012,Home Office,APAC,1582.2,6,-870.3
16-08-2014,Corporate,US,1801.632,6,-337.806
01-08-2013,Corporate,APAC,1512,6,498.96
10-06-2013,Consumer,US,695.7,2,-27.828
24-12-2014,Consumer,Africa,2550,4,714
15-12-2012,Consumer,US,2025.36,6,607.608
23-02-2012,Home Office,EU,2285.7,5,845.7
11-10-2014,Consumer,APAC,1029.2589,9,10.8189
21-04-2014,Corporate,LATAM,1058.2792,5,-2.1208
12-06-2013,Consumer,APAC,5751.54,9,2817.99
17-09-2013,Home Office,EU,2442.069,7,-244.251
19-09-2014,Home Office,APAC,1190.52,6,178.56
26-11-2014,Consumer,EU,3150.819,7,-35.091
01-09-2014,Home Office,EU,1599.9,5,719.85
20-06-2014,Corporate,APAC,2063.4,5,123.75
23-10-2014,Home Office,EMEA,1269.9,6,558.72
16-08-2011,Corporate,APAC,3274.02,9,261.9
12-09-2014,Consumer,LATAM,848.32,2,110.28
24-08-2012,Consumer,US,3080,7,1416.8
14-01-2014,Consumer,EU,2847.36,8,711.84
13-11-2014,Home Office,APAC,1725.75,5,-483.3
13-06-2013,Consumer,APAC,1479.3138,6,-63.6462
24-12-2012,Corporate,US,4899.93,7,2302.9671
22-09-2014,Consumer,APAC,1282.23,9,12.69
08-01-2011,Consumer,Africa,2478.6,6,49.5
03-10-2013,Corporate,US,17499.95,5,8399.976
30-07-2013,Corporate,APAC,959.76,3,460.62
31-07-2012,Consumer,US,1090.782,7,-290.8752
30-04-2014,Home Office,APAC,4135.641,10,847.041
28-09-2011,Consumer,LATAM,2325.28,8,511.52
24-06-2014,Consumer,APAC,5486.67,14,2316.51
06-04-2011,Home Office,EU,1523.664,8,-50.976
07-08-2014,Corporate,EU,1625.2425,3,-76.5675
19-11-2013,Corporate,US,1319.96,4,527.984
14-02-2014,Consumer,EU,734.94,4,130.62
29-11-2014,Home Office,US,2065.32,12,-619.596
17-08-2012,Consumer,EMEA,1391.52,8,69.36
31-08-2012,Corporate,US,1552.831,7,200.9546
07-08-2012,Consumer,LATAM,2461.06,7,566.02
27-01-2014,Consumer,US,2939.93,7,764.3818
08-09-2011,Consumer,US,8159.952,8,-1359.992
09-08-2012,Consumer,APAC,1226.19,7,612.99
21-02-2013,Consumer,APAC,1809.255,5,-258.495
18-07-2012,Corporate,APAC,1863,8,393.24
19-11-2011,Consumer,US,4548.81,7,1228.1787
09-04-2014,Consumer,EU,1244.187,7,-13.923
18-06-2012,Consumer,EU,2364.102,4,-218.298
31-12-2013,Corporate,EU,1946.313,6,114.453
30-06-2014,Consumer,US,895.92,5,302.373
16-01-2012,Corporate,EU,2283.714,9,-0.216
12-06-2012,Consumer,Africa,2549.76,4,1172.88
17-03-2014,Home Office,APAC,3299.562,14,366.282
13-11-2012,Consumer,EU,2489.4,9,273.78
27-11-2013,Consumer,US,3406.664,8,160.3136
06-12-2012,Home Office,US,999.98,2,449.991
16-05-2014,Home Office,EU,1189.242,9,250.992
25-12-2014,Home Office,US,2879.952,6,1007.9832
22-12-2014,Corporate,LATAM,1269.6,4,355.44
14-09-2013,Home Office,APAC,3499.155,11,-3009.435
07-01-2013,Consumer,APAC,2993.025,5,726.825
27-06-2014,Home Office,EU,815.949,3,287.919
13-07-2012,Consumer,EU,1245,4,161.76
11-02-2014,Consumer,APAC,1027.728,8,182.688
29-05-2014,Consumer,APAC,1703.025,5,737.925
16-04-2014,Consumer,APAC,1803.0837,11,-130.3863
27-11-2014,Corporate,EU,676.485,5,195.285
09-11-2011,Corporate,APAC,969.36,7,348.81
18-09-2014,Corporate,EU,1637.01,5,90.81
24-02-2014,Consumer,LATAM,1655.96144,7,13.20144
03-09-2013,Corporate,LATAM,976.96,4,232
23-12-2013,Corporate,APAC,731.34,2,175.5
17-06-2014,Consumer,Africa,1239,4,0
15-03-2014,Home Office,APAC,1680.606,5,368.256
12-07-2014,Consumer,APAC,2190.75,5,65.7
09-06-2014,Consumer,EU,935.172,4,114.252
15-10-2014,Consumer,EU,1026.96,8,441.36
06-08-2014,Consumer,APAC,2550,4,280.44
07-12-2012,Corporate,EU,1224.714,4,-129.726
25-12-2012,Corporate,APAC,2667.537,5,-417.813
16-05-2013,Consumer,EU,2605.92,4,1042.32
17-06-2013,Consumer,EMEA,2962.68,14,207.06
03-11-2014,Consumer,APAC,2664,5,905.7
28-05-2012,Consumer,EU,1513.56,4,741.6
17-08-2013,Corporate,EU,1233.63,3,234.36
03-06-2011,Consumer,EMEA,855.15,1,384.81
14-07-2011,Consumer,EU,956.34,4,-95.7
29-09-2011,Corporate,US,1801.632,6,-337.806
17-10-2011,Consumer,EU,1838.52,5,160.77
14-11-2011,Home Office,APAC,4498.83,7,674.73
14-07-2014,Consumer,EU,1824.144,8,-1303.056
03-06-2014,Consumer,LATAM,2344,8,46.88
15-12-2014,Consumer,APAC,2043.72,14,756
28-06-2014,Corporate,Africa,856.8,14,265.44
20-12-2014,Corporate,LATAM,2509.36,7,426.58
06-02-2012,Consumer,APAC,819.936,2,191.316
21-01-2011,Consumer,LATAM,2797.248,6,-0.072
03-08-2012,Consumer,LATAM,1455.08,11,261.8
27-10-2014,Corporate,APAC,2189.0898,6,541.3698
27-02-2012,Home Office,APAC,5451.3,6,327.06
11-06-2012,Corporate,EMEA,1291.08,2,296.94
23-02-2011,Corporate,APAC,1526.52,4,732.72
15-09-2014,Home Office,US,1079.85,3,323.955
20-07-2013,Home Office,LATAM,1869.72,6,205.56
29-03-2013,Consumer,LATAM,1815.24,7,471.94
23-10-2014,Corporate,APAC,959.76,3,460.62
24-06-2014,Consumer,LATAM,3045.84,7,1035.58
30-10-2013,Home Office,LATAM,2125,5,297.5
13-12-2012,Consumer,Africa,976.08,4,292.8
04-05-2013,Consumer,APAC,1266.36,4,265.92
08-05-2014,Corporate,US,1458.65,5,423.0085
08-09-2011,Home Office,Africa,2134.44,4,682.92
22-04-2012,Corporate,EU,4748.436,14,844.116
30-10-2013,Corporate,Africa,1867.5,6,242.64
16-04-2011,Home Office,APAC,1001.7,6,250.38
12-10-2012,Home Office,US,899.136,4,112.392
26-05-2014,Consumer,US,663.92,5,207.475
31-10-2014,Home Office,APAC,4306.32,8,1722.48
12-04-2013,Home Office,APAC,899.55,3,323.82
11-11-2013,Home Office,APAC,763.92,4,381.96
13-10-2012,Consumer,EU,2544.24,4,1093.92
13-10-2012,Consumer,APAC,1136.664,4,-189.456
30-01-2014,Corporate,APAC,2301,5,91.95
12-10-2012,Consumer,Africa,3908.88,6,1563.48
06-12-2013,Corporate,US,1951.84,8,585.552
03-12-2014,Consumer,US,2479.96,4,743.988
19-09-2013,Consumer,APAC,2249.16,4,224.88
31-12-2012,Corporate,LATAM,2528.26,7,176.96
29-12-2014,Consumer,EU,1461.135,5,202.185
15-11-2013,Consumer,LATAM,3045.84,7,1035.58
12-09-2011,Consumer,US,3785.292,6,420.588
15-05-2014,Consumer,US,1399.93,7,601.9699
08-09-2014,Consumer,APAC,2152.956,8,198.636
17-06-2013,Consumer,EU,1244.1,5,447.75
08-12-2011,Corporate,LATAM,2226.816,9,500.976
19-09-2014,Consumer,APAC,1586.412,4,17.532
27-11-2013,Corporate,US,3040,8,1459.2
10-02-2014,Consumer,EMEA,3425.4,6,1233
08-02-2014,Corporate,EU,1136.94,2,568.44
05-08-2013,Corporate,APAC,677.6352,2,211.2552
15-04-2014,Home Office,EMEA,731.34,2,80.4
21-03-2011,Corporate,US,3499.93,7,909.9818
05-05-2014,Consumer,APAC,1272.72,4,534.48
04-11-2013,Consumer,EU,1856.34,6,909.54
10-06-2014,Corporate,EU,2295,4,459
31-08-2012,Corporate,EU,1622.1825,3,324.3825
20-06-2013,Consumer,APAC,1063.44,7,361.41
23-08-2014,Corporate,EMEA,3449.88,14,275.94
28-05-2012,Home Office,LATAM,585.456,3,-0.024
19-05-2014,Consumer,Africa,1429.44,4,471.6
29-04-2013,Corporate,Africa,1057.8,2,158.64
23-12-2013,Corporate,APAC,1092.96,3,393.39
12-10-2014,Consumer,LATAM,1483,5,741.5
15-04-2014,Home Office,LATAM,1792.4,5,304.7
28-11-2014,Corporate,EU,2455.677,7,-191.163
11-05-2012,Consumer,EMEA,1900.44,6,417.96
18-06-2013,Consumer,APAC,3712.59,7,849.87
04-05-2012,Home Office,APAC,2372.22,9,0
11-11-2011,Home Office,APAC,5725.35,9,1602.99
24-12-2014,Consumer,EU,2553.18,7,842.52
15-05-2014,Corporate,LATAM,2003.52,6,861.48
09-12-2014,Consumer,EMEA,1188.36,4,95.04
07-12-2011,Home Office,APAC,2875.095,5,511.095
10-09-2013,Consumer,EU,2380.5,5,952.2
03-03-2011,Corporate,EMEA,1619.1,10,258.9
02-01-2012,Corporate,APAC,2821.7178,6,339.8778
30-10-2012,Corporate,APAC,2991.1032,9,-128.7468
19-11-2013,Consumer,APAC,1798.6764,4,86.6364
15-08-2013,Consumer,EMEA,2544.84,4,712.44
08-06-2013,Home Office,APAC,951.72,2,228.36
02-10-2014,Consumer,APAC,2575.92,4,978.84
27-02-2014,Consumer,EU,1699.83,3,84.96
31-10-2013,Home Office,APAC,2634.552,8,116.952
18-12-2013,Corporate,APAC,3707.352,11,1554.432
09-05-2014,Consumer,APAC,4298.85,5,300.9
04-07-2014,Corporate,APAC,3417.48,6,854.28
17-05-2012,Consumer,EU,2080.32,4,561.6
03-08-2011,Corporate,APAC,840.6,5,319.35
29-07-2013,Consumer,US,1369.764,6,-913.176
14-02-2013,Home Office,Africa,1288.8,10,90
23-05-2012,Home Office,APAC,660.69,5,44.04
04-08-2014,Corporate,EMEA,3234.24,6,970.2
13-11-2013,Consumer,LATAM,2171.3,5,390.8
12-02-2014,Consumer,APAC,2074.734,9,276.534
11-11-2014,Consumer,LATAM,849.8,2,195.44
30-03-2013,Home Office,APAC,1177.173,3,353.133
24-08-2013,Home Office,Canada,2270.34,6,1112.4
02-11-2014,Consumer,US,2665.62,9,239.9058
19-08-2013,Corporate,APAC,2863.08,9,-458.19
29-05-2014,Home Office,EU,1253.07,5,236.67
22-08-2012,Home Office,EMEA,3369.24,6,606.42
05-07-2014,Consumer,Africa,1464.12,6,439.2
14-03-2012,Consumer,EU,1273.125,7,-993.195
02-10-2014,Home Office,US,1704.89,11,767.2005
16-09-2014,Corporate,LATAM,1258.7774,5,375.7774
07-08-2014,Consumer,APAC,2584.008,7,290.598
09-09-2013,Consumer,APAC,1482.39,6,68.31
08-09-2014,Consumer,LATAM,1274.7,3,293.16
31-10-2011,Consumer,US,1604.9,5,481.47
17-10-2012,Consumer,LATAM,2818.08,9,225.36
17-02-2014,Consumer,APAC,1046.25,3,-111.6
24-02-2012,Consumer,APAC,3187.2,5,541.8
03-12-2012,Corporate,APAC,4099.68,10,956.58
12-12-2012,Consumer,APAC,703.35,5,260.1
16-06-2014,Corporate,APAC,2293.488,8,509.568
20-12-2012,Corporate,EU,1238.6115,9,14.4315
13-05-2014,Consumer,LATAM,1715.056,7,300.076
20-12-2014,Consumer,US,1665.62,2,33.3124
07-11-2014,Consumer,APAC,2841.66,6,852.48
10-06-2013,Corporate,EU,3399.66,12,-3059.82
10-05-2012,Corporate,APAC,1607.76,6,482.22
13-09-2013,Corporate,APAC,840.15,5,260.4
25-07-2013,Consumer,APAC,1236.33,3,519.21
11-10-2014,Consumer,APAC,2488.56,8,348.24
22-11-2011,Home Office,LATAM,1124.256,7,252.896
